LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
48.717759999999998,-121.152389999999997,304.589999999999975,1.000000000000000,1.000000000000000,2023/08/03,"0529",Terra,MODIS,"61",6.1NRT,290.089999999999975,7.000000000000000,N
48.710630000000002,-121.137519999999995,319.129999999999995,1.230000000000000,1.100000000000000,2023/08/03,"1902",Terra,MODIS,"64",6.1NRT,295.069999999999993,20.390000000000001,D
48.723219999999998,-121.150090000000006,313.290000000000020,1.230000000000000,1.100000000000000,2023/08/03,"1902",Terra,MODIS,"51",6.1NRT,295.490000000000009,12.640000000000001,D
48.711829999999999,-121.137209999999996,325.079999999999984,1.180000000000000,1.080000000000000,2023/08/03,"2133",Aqua,MODIS,"59",6.1NRT,300.089999999999975,23.800000000000001,D
48.719490000000000,-121.156390000000002,326.370000000000005,1.170000000000000,1.080000000000000,2023/08/03,"2133",Aqua,MODIS,"75",6.1NRT,302.240000000000009,24.930000000000000,D
48.730080000000001,-121.126570000000001,320.959999999999980,2.360000000000000,1.480000000000000,2023/08/04,"0612",Terra,MODIS,"100",6.1NRT,289.000000000000000,69.560000000000002,N
48.728569999999998,-121.154589999999999,328.350000000000023,2.350000000000000,1.480000000000000,2023/08/04,"0612",Terra,MODIS,"100",6.1NRT,289.319999999999993,97.620000000000005,N
48.727660000000000,-121.120040000000003,300.930000000000007,1.780000000000000,1.310000000000000,2023/08/04,"1104",Aqua,MODIS,"36",6.1NRT,286.610000000000014,14.199999999999999,N
48.733080000000001,-121.144329999999997,314.139999999999986,1.770000000000000,1.300000000000000,2023/08/04,"1104",Aqua,MODIS,"89",6.1NRT,286.949999999999989,34.640000000000001,N
48.727690000000003,-121.145340000000004,311.720000000000027,3.800000000000000,1.820000000000000,2023/08/04,"1942",Terra,MODIS,"51",6.1NRT,291.310000000000002,69.680000000000007,D
48.710859999999997,-121.150890000000004,315.529999999999973,3.920000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"59",6.1NRT,295.500000000000000,68.689999999999998,D
48.727139999999999,-121.161349999999999,344.180000000000007,3.920000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"93",6.1NRT,296.990000000000009,338.360000000000014,D
48.725320000000004,-121.230119999999999,318.360000000000014,3.900000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"65",6.1NRT,296.660000000000025,87.879999999999995,D
48.713929999999998,-121.222700000000003,314.519999999999982,3.900000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"51",6.1NRT,296.519999999999982,65.409999999999997,D
48.731780000000001,-121.152680000000004,304.910000000000025,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"14",6.1NRT,277.990000000000009,10.199999999999999,N
48.722130000000000,-121.149630000000002,321.699999999999989,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"92",6.1NRT,278.970000000000027,26.980000000000000,N
48.719520000000003,-121.163910000000001,313.850000000000023,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"36",6.1NRT,279.389999999999986,17.449999999999999,N
48.729540000000000,-121.154750000000007,308.829999999999984,1.470000000000000,1.200000000000000,2023/08/05,"1009",Aqua,MODIS,"60",6.1NRT,288.579999999999984,16.750000000000000,N
48.718879999999999,-121.157340000000005,303.839999999999975,1.470000000000000,1.200000000000000,2023/08/05,"1009",Aqua,MODIS,"11",6.1NRT,287.519999999999982,10.880000000000001,N
48.715870000000002,-121.170559999999995,308.639999999999986,2.460000000000000,1.510000000000000,2023/08/11,"2034",Aqua,MODIS,"63",6.1NRT,291.920000000000016,29.190000000000001,D
48.709479999999999,-121.175449999999998,311.819999999999993,2.460000000000000,1.510000000000000,2023/08/11,"2034",Aqua,MODIS,"66",6.1NRT,292.920000000000016,36.869999999999997,D
48.709560000000003,-121.167950000000005,313.329999999999984,1.040000000000000,1.020000000000000,2023/08/12,"1836",Terra,MODIS,"66",6.1NRT,290.959999999999980,10.760000000000000,D
48.714530000000003,-121.175889999999995,346.220000000000027,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"94",6.1NRT,295.509999999999991,50.340000000000003,D
48.705750000000002,-121.173090000000002,319.889999999999986,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"75",6.1NRT,294.860000000000014,14.350000000000000,D
48.707729999999998,-121.159809999999993,309.459999999999980,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"50",6.1NRT,292.079999999999984,6.030000000000000,D
48.702570000000001,-121.176450000000003,316.509999999999991,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"93",6.1NRT,290.629999999999995,18.739999999999998,N
48.700890000000001,-121.191890000000001,305.310000000000002,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"12",6.1NRT,289.579999999999984,8.270000000000000,N
48.711919999999999,-121.180660000000003,328.310000000000002,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"100",6.1NRT,292.680000000000007,34.329999999999998,N
48.710059999999999,-121.197530000000000,306.889999999999986,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"24",6.1NRT,289.189999999999998,9.400000000000000,N
48.706310000000002,-121.160309999999996,302.850000000000023,1.180000000000000,1.080000000000000,2023/08/13,"1049",Aqua,MODIS,"31",6.1NRT,289.240000000000009,7.370000000000000,N
